away,away_score,date,draft_kings,home,home_score,lasso,linear,predict_kp,rf,score
Wisconsin,54.0,2021-01-12,3.5,Michigan,77.0,-7.0,-8.0,1,-16.0,23.0
Kansas,70.0,2021-01-12,-3.5,Oklahoma St.,75.0,-3.0,-2.0,-1,-4.0,5.0
Duke,67.0,2021-01-12,-1.0,Virginia Tech,74.0,-6.0,-2.0,1,-6.0,7.0
Alabama,85.0,2021-01-12,3.0,Kentucky,65.0,1.0,2.0,1,-4.0,-20.0
Syracuse,75.0,2021-01-12,4.5,North Carolina,81.0,6.0,4.0,3,-4.0,6.0
Mississippi,63.0,2021-01-12,3.0,Florida,72.0,5.0,0.0,4,-4.0,9.0
Providence,69.0,2021-01-12,4.0,Marquette,79.0,-6.0,1.0,3,-4.0,10.0
Miami FL,62.0,2021-01-12,-2.0,Boston College,84.0,-1.0,-1.0,-2,-5.0,22.0
Butler,57.0,2021-01-12,2.0,St. John's,69.0,-2.0,1.0,2,-6.0,12.0
TCU,46.0,2021-01-12,6.5,Oklahoma,82.0,2.0,0.0,7,-3.0,36.0
Ball St.,88.0,2021-01-12,8.0,Bowling Green,64.0,1.0,2.0,7,2.0,-24.0
Kent St.,94.0,2021-01-12,-8.0,Central Michigan,85.0,-12.0,-12.0,-5,-2.0,-9.0
Miami OH,61.0,2021-01-12,9.5,Ohio,78.0,-1.0,-2.0,7,-3.0,17.0
Eastern Michigan,63.0,2021-01-12,9.0,Toledo,96.0,5.0,9.0,11,1.0,33.0
Saint Joseph's,66.0,2021-01-12,14.0,Davidson,80.0,2.0,10.0,11,-6.0,14.0
Alabama St.,64.0,2021-01-12,-9.0,Mississippi Valley St.,51.0,4.0,-0.0,-5,2.0,-13.0
Akron,65.0,2021-01-12,-8.0,Northern Illinois,67.0,-7.0,-7.0,-8,0.0,2.0
Alcorn St.,74.0,2021-01-12,7.5,Grambling St.,79.0,15.0,23.0,7,2.0,5.0
UC Riverside,62.0,2021-01-12,14.0,USC,67.0,21.0,0.0,17,-10.0,5.0
Tulsa,53.0,2021-01-13,4.0,Wichita St.,72.0,-5.0,3.0,1,1.0,19.0
La Salle,75.0,2021-01-13,4.5,George Mason,42.0,-6.0,-2.0,2,-3.0,-33.0
Texas A&M Corpus Chris,63.0,2021-01-13,1.5,Southeastern Louisiana,76.0,-3.0,3.0,-1,19.0,13.0
Mercer,80.0,2021-01-13,-1.0,Chattanooga,83.0,-0.0,6.0,1,-1.0,3.0
Duquesne,63.0,2021-01-13,6.5,Dayton,72.0,-7.0,-7.0,5,8.0,9.0
Central Arkansas,69.0,2021-01-13,8.5,Stephen F. Austin,95.0,6.0,-6.0,7,18.0,26.0
St. Bonaventure,68.0,2021-01-13,-11.5,Fordham,54.0,6.0,2.0,-10,7.0,-14.0
New Mexico,72.0,2021-01-13,-2.5,Dixie St.,63.0,-12.0,-9.0,-1,-5.0,-9.0
Texas Tech,79.0,2021-01-13,2.5,Texas,77.0,1.0,-27.0,4,13.0,-2.0
Arkansas,76.0,2021-01-13,1.5,LSU,92.0,38.0,51.0,3,12.0,16.0
Nicholls St.,76.0,2021-01-13,-5.5,Northwestern St.,66.0,14.0,12.0,-4,9.0,-10.0
VCU,84.0,2021-01-13,-11.5,George Washington,77.0,-10.0,6.0,-10,-6.0,-7.0
Furman,94.0,2021-01-13,-14.0,The Citadel,88.0,-10.0,-3.0,-15,3.0,-6.0
McNeese St.,61.0,2021-01-13,-2.0,Incarnate Word,83.0,-7.0,-21.0,-1,4.0,22.0
Wofford,80.0,2021-01-13,-5.0,VMI,78.0,-15.0,-28.0,-4,0.0,-2.0
Lamar,71.0,2021-01-13,8.0,Sam Houston St.,96.0,5.0,8.0,7,8.0,25.0
Boise St.,90.0,2021-01-13,-10.0,Wyoming,70.0,5.0,-68.0,-9,18.0,-20.0
Texas A&M,56.0,2021-01-13,6.5,Mississippi St.,55.0,-4.0,-0.0,6,11.0,-1.0
Notre Dame,68.0,2021-01-13,9.5,Virginia,80.0,-16.0,16.0,10,-7.0,12.0
Louisville,77.0,2021-01-13,-7.5,Wake Forest,65.0,6.0,12.0,-8,8.0,-12.0
Rhode Island,78.0,2021-01-13,-2.5,Massachusetts,80.0,-29.0,-78.0,-2,1.0,2.0
Northwestern,71.0,2021-01-13,8.0,Ohio St.,81.0,-7.0,-42.0,8,2.0,10.0
Auburn,95.0,2021-01-13,1.0,Georgia,77.0,-6.0,-30.0,1,-8.0,-18.0
N.C. State,73.0,2021-01-13,4.0,Florida St.,105.0,-25.0,-10.0,4,15.0,32.0
Purdue,81.0,2021-01-14,3.5,Indiana,69.0,-0.0,39.0,3,-5.0,-12.0
San Diego St.,45.0,2021-01-14,1.0,Utah St.,57.0,-16.0,-34.0,1,6.0,12.0
Stanford,65.0,2021-01-14,-1.0,Utah,79.0,2.0,21.0,-2,0.0,14.0
BYU,62.0,2021-01-14,-0.5,Saint Mary's,52.0,-5.0,-24.0,1,8.0,-10.0
