away_x,away_y,bet,date,draft_kings,home,home_cover,lasso,linear,percent_chance,predict_kp,rf,score
Charlotte,Charlotte,Charlotte,2021-01-23,1.5,Florida Atlantic,0.0,,,0.8817,1,,-3.0
Idaho St.,Idaho St.,Idaho St.,2021-01-23,2.5,Portland St.,0.0,,,0.8489,-1,,26.0
Pittsburgh,Pittsburgh,Wake Forest,2021-01-23,-1.5,Wake Forest,1.0,,,0.8431,-4,,1.0
Rice,Rice,UAB,2021-01-23,9.5,UAB,1.0,,,0.8309,10,,12.0
Kansas,Kansas,Oklahoma,2021-01-23,-1.0,Oklahoma,1.0,,,0.8264,1,,7.0
UNC Greensboro,UNC Greensboro,Chattanooga,2021-01-23,-3.5,Chattanooga,1.0,,,0.8178,-3,,-8.0
Georgia St.,Georgia St.,Appalachian St.,2021-01-23,-3.5,Appalachian St.,1.0,,,0.8139,-3,,13.0
Montana St.,Montana St.,Montana St.,2021-01-23,-6.0,Northern Arizona,0.0,,,0.8095,-5,,-5.0
DePaul,DePaul,Marquette,2021-01-23,9.0,Marquette,1.0,,,0.8038,8,,-7.0
Florida,Florida,Georgia,2021-01-23,-4.0,Georgia,1.0,,,0.792,-6,,-8.0
Wright St.,Wright St.,Wright St.,2021-01-23,-14.5,IUPUI,0.0,,,0.7739,-14,,-28.0
Montana,Montana,Montana,2021-01-23,-2.5,Sacramento St.,0.0,,,0.7704,-2,,6.0
Pacific,Pacific,Pacific,2021-01-23,26.0,Gonzaga,0.0,,,0.7702,23,,46.0
Cal Poly,Cal Poly,UC Irvine,2021-01-23,16.0,UC Irvine,1.0,,,0.7699,18,,23.0
Northern Kentucky,Northern Kentucky,Northern Kentucky,2021-01-23,1.5,Robert Morris,0.0,,,0.7642,1,,-5.0
Pepperdine,Pepperdine,BYU,2021-01-23,11.5,BYU,1.0,,,0.7479,11,,11.0
Clemson,Clemson,Florida St.,2021-01-23,6.0,Florida St.,1.0,,,0.7376,6,,19.0
Louisiana Tech,Louisiana Tech,UTEP,2021-01-23,-1.0,UTEP,1.0,,,0.7346,-2,,-18.0
Western Kentucky,Western Kentucky,Western Kentucky,2021-01-23,-10.5,Middle Tennessee,0.0,,,0.73,-9,,-15.0
Eastern Washington,Eastern Washington,Northern Colorado,2021-01-23,-4.0,Northern Colorado,1.0,,,0.728,-3,,-6.0
Virginia Tech,Virginia Tech,Syracuse,2021-01-23,1.0,Syracuse,1.0,,,0.7185,1,,18.0
USC,USC,California,2021-01-23,-8.5,California,1.0,,,0.7182,-9,,-8.0
West Virginia,West Virginia,Kansas St.,2021-01-23,-11.0,Kansas St.,1.0,,,0.7179,-12,,-22.0
Texas St.,Texas St.,Texas St.,2021-01-23,-5.5,Louisiana Monroe,0.0,,,0.7141,-7,,-6.0
Marshall,Marshall,Marshall,2021-01-23,-9.5,FIU,0.0,,,0.7138,-8,,-17.0
Northwestern,Northwestern,Penn St.,2021-01-23,5.5,Penn St.,1.0,,,0.7103,6,,3.0
Southern Miss,Southern Miss,Southern Miss,2021-01-23,5.5,UTSA,0.0,,,0.7048,5,,6.0
Cal St. Bakersfield,Cal St. Bakersfield,Cal St. Bakersfield,2021-01-23,2.5,UC Riverside,0.0,,,0.6986,2,,7.0
Valparaiso,Valparaiso,Valparaiso,2021-01-23,2.0,Illinois St.,0.0,,,0.6975,1,,-9.0
Utah Valley,Utah Valley,St. John's,2021-01-23,15.0,St. John's,1.0,,,0.6767,15,,18.0
Baylor,Baylor,Oklahoma St.,2021-01-23,-9.0,Oklahoma St.,1.0,,,0.672,-9,,-15.0
SIU Edwardsville,SIU Edwardsville,Belmont,2021-01-23,16.5,Belmont,1.0,,,0.6686,17,,52.0
Central Arkansas,Central Arkansas,Abilene Christian,2021-01-23,13.0,Abilene Christian,1.0,,,0.6679,12,,35.0
Detroit,Detroit,Oakland,2021-01-23,2.0,Oakland,1.0,,,0.664,1,,-10.0
Prairie View A&M,Prairie View A&M,Prairie View A&M,2021-01-23,-19.5,Mississippi Valley St.,0.0,,,0.6566,-17,,-46.0
